cartridge,bullet_diameter,bullet_brand,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,coal
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n133,89,20.2,2756,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n130,84,20.1,2782,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n135,102,21.6,2799,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n140,112,24.5,2841,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n540,117,24.7,2887,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n133,89,20.8,2890,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n130,84,20.8,2923,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n135,102,22.4,2953,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n140,112,25.9,3015,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n540,117,25.5,3031,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n130,84,22.4,3054,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n133,89,23.5,3068,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n140,112,27,3104,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n135,102,24.5,3107,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n140,112,27,3130,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,60,vihtavuori_n540,117,26.9,3189,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n130,84,23.5,3212,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n133,89,24.8,3261,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n135,102,25.9,3264,2.26
223_rem,0.225,nosler,ballistic_tip_varmint,55,vihtavuori_n540,117,27.9,3333,2.26
223_rem,0.225,sako,blade_648g,55,vihtavuori_n133,89,19.3,2789,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n130,84,21.1,2867,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n135,102,22.4,2900,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n140,112,25.9,2995,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n140,112,26.9,3077,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n130,84,23.8,3176,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n133,89,24.7,3209,2.248
223_rem,0.225,sako,blade_648g,55,vihtavuori_n135,102,25.9,3241,2.248
223_rem,0.225,sierra,blitzking,50,vihtavuori_n130,84,21.1,3091,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n530,100,23.1,3114,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n140,112,25.5,3120,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n133,89,23.3,3176,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n135,102,24.2,3199,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n140,112,27,3333,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n130,84,23,3356,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n530,100,25.3,3406,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n133,89,25.3,3448,2.26
223_rem,0.225,sierra,blitzking,50,vihtavuori_n135,102,26.2,3471,2.26
223_rem,0.225,barnes,bt_match,85,vihtavuori_n135,102,18.8,2310,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n140,112,20.8,2375,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n150,124,21.5,2418,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n540,117,22.1,2470,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n135,102,20.8,2493,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n140,112,23.6,2641,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n150,124,23.8,2648,2.228
223_rem,0.225,barnes,bt_match,85,vihtavuori_n540,117,23.6,2687,2.228
223_rem,0.225,berger,bt_target,73,vihtavuori_n135,102,20.2,2438,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n133,89,18.5,2451,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n140,112,21.9,2503,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n530,100,20.5,2533,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n540,117,22.7,2582,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n133,89,21.8,2697,2.26
223_rem,0.225,berger,bt_target,73,vihtavuori_n135,102,23.3,2805,2.26
