cartridge,bullet_diameter,bullet_brand,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,data_source,primer,twist_rate,coal
308_win,0.308,lapua,als,57.00,vihtavuori_n110,64,27.5,3481,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,g589_ot,100.00,vihtavuori_n120,81,33.6,2890,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,g589_ot,100.00,vihtavuori_n130,84,37.8,2986,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,g589_ot,100.00,vihtavuori_n133,89,41.7,3097,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,g589_ot,100.00,vihtavuori_n135,102,43.2,3123,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,g589_ot,100.00,vihtavuori_n540,117,47.4,3114,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n110,64,20.4,2333,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n120,81,30.6,2663,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n130,84,33.7,2794,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n133,89,40.6,3012,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n530,100,41.4,3002,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,lapua,hpce_otce,100.00,vihtavuori_n135,102,38.1,2837,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,barnes,tsx_fb,110.00,vihtavuori_n130,84,38.0,2887,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,barnes,tsx_fb,110.00,vihtavuori_n133,89,41.7,2986,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,barnes,tsx_fb,110.00,vihtavuori_n530,100,43.5,2995,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,barnes,tsx_fb,110.00,vihtavuori_n135,102,43.2,2999,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,fox,classic_hunter,110.00,vihtavuori_n133,89,37.0,2838,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,fox,classic_hunter,110.00,vihtavuori_n135,102,39.7,2897,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,fox,classic_hunter,110.00,vihtavuori_n140,112,46.3,3035,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,hornady,cx,110.00,vihtavuori_n130,84,38.3,2864,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,cx,110.00,vihtavuori_n133,89,42.4,2969,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,cx,110.00,vihtavuori_n135,102,44.0,3002,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,cx,110.00,vihtavuori_n540,117,47.1,2999,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,gmx,110.00,vihtavuori_n130,84,37.0,2848,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,gmx,110.00,vihtavuori_n133,89,40.6,2897,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,gmx,110.00,vihtavuori_n530,100,41.1,2890,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,gmx,110.00,vihtavuori_n135,102,42.3,2930,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,gmx,110.00,vihtavuori_n540,117,45.8,2930,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,hornady,v_max,110.00,vihtavuori_n130,84,37.2,2871,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,hornady,v_max,110.00,vihtavuori_n133,89,40.6,2943,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,hornady,v_max,110.00,vihtavuori_n530,100,42.1,2969,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,hornady,v_max,110.00,vihtavuori_n135,102,42.6,3002,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,hornady,v_max,110.00,vihtavuori_n140,112,46.0,2992,24.000,vihtavuori,large_rifle_generic,12.000,2.697
308_win,0.308,nosler,varmageddon,110.00,vihtavuori_n120,81,34.9,2848,24.000,vihtavuori,large_rifle_generic,12.000,2.598
308_win,0.308,nosler,varmageddon,110.00,vihtavuori_n130,84,38.6,2920,24.000,vihtavuori,large_rifle_generic,12.000,2.598
308_win,0.308,nosler,varmageddon,110.00,vihtavuori_n133,89,42.4,2995,24.000,vihtavuori,large_rifle_generic,12.000,2.598
308_win,0.308,sierra,hp_varminter,110.00,vihtavuori_n130,84,39.4,2930,24.000,vihtavuori,large_rifle_generic,12.000,2.600
308_win,0.308,sierra,hp_varminter,110.00,vihtavuori_n133,89,42.4,3002,24.000,vihtavuori,large_rifle_generic,12.000,2.600
308_win,0.308,sierra,hp_varminter,110.00,vihtavuori_n135,102,44.0,3018,24.000,vihtavuori,large_rifle_generic,12.000,2.600
308_win,0.308,sierra,hp_varminter,110.00,vihtavuori_n140,112,46.3,2946,24.000,vihtavuori,large_rifle_generic,12.000,2.600
308_win,0.308,lehigh,controlled_chaos_copper,115.00,vihtavuori_n130,84,38.6,2854,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos_copper,115.00,vihtavuori_n133,89,41.7,2920,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos_copper,115.00,vihtavuori_n135,102,44.0,2959,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos_copper,115.00,vihtavuori_n140,112,46.9,2946,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,sierra,hp_varminter,115.00,vihtavuori_n130,84,38.6,2861,24.000,vihtavuori,large_rifle_generic,12.000,2.736
308_win,0.308,sierra,hp_varminter,115.00,vihtavuori_n133,89,41.7,2904,24.000,vihtavuori,large_rifle_generic,12.000,2.736
308_win,0.308,sierra,hp_varminter,115.00,vihtavuori_n135,102,43.2,2953,24.000,vihtavuori,large_rifle_generic,12.000,2.736
308_win,0.308,sierra,hp_varminter,115.00,vihtavuori_n140,112,46.3,2953,24.000,vihtavuori,large_rifle_generic,12.000,2.736
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n133,89,39.5,2720,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n530,100,40.9,2762,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n135,102,41.7,2769,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n140,112,44.8,2792,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n540,117,45.5,2825,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sako,blade_633a,120.00,vihtavuori_n150,124,44.8,2785,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,lapua,fmj,123.00,vihtavuori_n120,81,32.1,2664,24.000,vihtavuori,large_rifle_generic,12.000,2.634
308_win,0.308,lapua,fmj,123.00,vihtavuori_n130,84,34.9,2566,24.000,vihtavuori,large_rifle_generic,12.000,2.634
308_win,0.308,lapua,fmj,123.00,vihtavuori_n133,89,40.4,2815,24.000,vihtavuori,large_rifle_generic,12.000,2.634
308_win,0.308,lapua,fmj,123.00,vihtavuori_n530,100,40.0,2789,24.000,vihtavuori,large_rifle_generic,12.000,2.634
308_win,0.308,lapua,fmj,123.00,vihtavuori_n135,102,42.0,2723,24.000,vihtavuori,large_rifle_generic,12.000,2.634
308_win,0.308,hornady,ecx,125.00,vihtavuori_n133,89,33.2,2579,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,ecx,125.00,vihtavuori_n135,102,34.7,2582,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,ecx,125.00,vihtavuori_n140,112,42.4,2740,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,ecx,125.00,vihtavuori_n540,117,43.2,2759,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,ecx,125.00,vihtavuori_n150,124,42.7,2753,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,sst,125.00,vihtavuori_n130,84,37.0,2720,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,sst,125.00,vihtavuori_n133,89,40.1,2789,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,sst,125.00,vihtavuori_n135,102,42.4,2812,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,sst,125.00,vihtavuori_n140,112,45.5,2828,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,hornady,sst,125.00,vihtavuori_n540,117,45.5,2795,24.000,vihtavuori,large_rifle_generic,12.000,2.728
308_win,0.308,lehigh,controlled_chaos,125.00,vihtavuori_n133,89,33.5,2507,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos,125.00,vihtavuori_n135,102,36.0,2592,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos,125.00,vihtavuori_n140,112,39.2,2612,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos,125.00,vihtavuori_n540,117,42.4,2726,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,lehigh,controlled_chaos,125.00,vihtavuori_n150,124,39.4,2651,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,nosler,accubond,125.00,vihtavuori_n130,84,36.7,2717,24.000,vihtavuori,large_rifle_generic,12.000,2.748
308_win,0.308,nosler,accubond,125.00,vihtavuori_n133,89,40.4,2812,24.000,vihtavuori,large_rifle_generic,12.000,2.748
308_win,0.308,nosler,accubond,125.00,vihtavuori_n135,102,42.4,2835,24.000,vihtavuori,large_rifle_generic,12.000,2.748
308_win,0.308,nosler,accubond,125.00,vihtavuori_n140,112,44.8,2825,24.000,vihtavuori,large_rifle_generic,12.000,2.748
308_win,0.308,nosler,accubond,125.00,vihtavuori_n540,117,45.8,2858,24.000,vihtavuori,large_rifle_generic,12.000,2.748
308_win,0.308,nosler,ballistic_tip,125.00,vihtavuori_n130,84,37.0,2684,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,nosler,ballistic_tip,125.00,vihtavuori_n133,89,40.1,2721,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,nosler,ballistic_tip,125.00,vihtavuori_n135,102,41.6,2732,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,nosler,ballistic_tip,125.00,vihtavuori_n140,112,44.1,2739,24.000,vihtavuori,large_rifle_generic,12.000,2.756
308_win,0.308,sierra,tmk,125.00,vihtavuori_n130,84,35.2,2664,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sierra,tmk,125.00,vihtavuori_n133,89,39.7,2756,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sierra,tmk,125.00,vihtavuori_n530,100,38.7,2733,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sierra,tmk,125.00,vihtavuori_n135,102,40.4,2759,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,sierra,tmk,125.00,vihtavuori_n140,112,43.2,2743,24.000,vihtavuori,large_rifle_generic,12.000,2.795
308_win,0.308,speer,tnt_hp,125.00,vihtavuori_n133,89,41.2,2851,24.000,vihtavuori,large_rifle_generic,12.000,2.638
308_win,0.308,speer,tnt_hp,125.00,vihtavuori_n135,102,42.9,2884,24.000,vihtavuori,large_rifle_generic,12.000,2.638
