cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
223_rem,0.2245,hpfb,36,vihtavuori_n130,84,24.1,3786,25,12,2.181,yes
223_rem,0.2245,hpfb,36,vihtavuori_n133,89,25.9,3842,25,12,2.181,yes
223_rem,0.2245,hpfb,36,vihtavuori_n135,102,26.2,3717,25,12,2.181,yes
223_rem,0.2245,hpfb,36,vihtavuori_n140,112,27,3514,25,12,2.181,yes
223_rem,0.2245,hpfb,36,vihtavuori_n540,117,27.8,3576,25,12,2.181,yes
223_rem,0.2245,varmint_grenade,50,vihtavuori_n135,102,24.5,3297,25,12,2.201,yes
223_rem,0.2245,varmint_grenade,50,vihtavuori_n140,112,26.9,3317,25,12,2.201,yes
223_rem,0.2245,varmint_grenade,50,vihtavuori_n540,117,26.2,3278,25,12,2.201,yes
223_rem,0.2245,mpg_fb,55,vihtavuori_n130,84,21.6,3068,25,12,2.165,yes
223_rem,0.2245,mpg_fb,55,vihtavuori_n135,102,21.9,3048,25,12,2.165,yes
223_rem,0.2245,mpg_fb,55,vihtavuori_n140,112,25.5,3035,25,12,2.165,yes
223_rem,0.2245,mpg_fb,55,vihtavuori_n540,117,27.8,3196,25,12,2.165,yes
223_rem,0.2245,ttsx_bt,55,vihtavuori_n135,102,25,3228,25,12,2.205,yes
223_rem,0.2245,ttsx_bt,55,vihtavuori_n140,112,27,3169,25,12,2.205,yes
223_rem,0.2245,ttsx_bt,55,vihtavuori_n540,117,27.8,3232,25,12,2.205,yes
223_rem,0.2245,ttsx_bt,62,vihtavuori_n530,100,23.3,3035,25,12,2.244,yes
223_rem,0.2245,ttsx_bt,62,vihtavuori_n135,102,23.3,3022,25,12,2.244,yes
223_rem,0.2245,ttsx_bt,62,vihtavuori_n140,112,26.2,2976,25,12,2.244,yes
223_rem,0.2245,ttsx_bt,62,vihtavuori_n540,117,26.9,3146,25,12,2.244,yes
223_rem,0.2245,lrx_bt,77,vihtavuori_n140,112,24.7,2674,25,12,2.26,yes
223_rem,0.2245,lrx_bt,77,vihtavuori_n540,117,24.8,2776,25,12,2.26,yes
223_rem,0.2245,bt_match,85,vihtavuori_n140,112,23.6,2641,25,12,2.228,yes
223_rem,0.2245,bt_match,85,vihtavuori_n150,124,23.8,2648,25,12,2.228,yes
223_rem,0.2245,otm_tactical,77,vihtavuori_n140,112,25,2815,25,12,2.26,yes
223_rem,0.2245,otm_tactical,77,vihtavuori_n540,117,24.8,2841,25,12,2.26,yes
223_rem,0.2245,otm_tactical,77,vihtavuori_n150,124,25.2,2812,25,12,2.26,yes
223_rem,0.2245,otm_tactical,77,vihtavuori_n550,129,27,2881,25,12,2.26,yes
223_rem,0.2245,fullbore_target,80.5,vihtavuori_n140,112,24.4,2753,25,12,2.244,yes
223_rem,0.2245,fullbore_target,80.5,vihtavuori_n550,129,26.9,2799,25,12,2.244,yes
223_rem,0.2245,long_range_hybrid_target,85.5,vihtavuori_n150,124,24.7,2700,25,12,2.323,yes
223_rem,0.2245,spitzer_bt_fmj,55,vihtavuori_n133,89,25.5,3314,25,12,2.244,yes
223_rem,0.2245,spitzer_bt_fmj,55,vihtavuori_n135,102,25.9,3271,25,12,2.244,yes
223_rem,0.2245,spitzer_bt_fmj,62,vihtavuori_n133,89,23.3,3058,25,12,2.244,yes
223_rem,0.2245,spitzer_bt_fmj,62,vihtavuori_n135,102,24.2,3091,25,12,2.244,yes
223_rem,0.2245,spitzer_bt_fmj,62,vihtavuori_n140,112,26.2,3031,25,12,2.244,yes
223_rem,0.2245,spitzer_bt_fmj,62,vihtavuori_n540,117,27.3,3173,25,12,2.244,yes
223_rem,0.2245,mth,65,vihtavuori_n135,102,21.3,2805,25,12,2.252,yes
223_rem,0.2245,mth,65,vihtavuori_n140,112,24.4,2897,25,12,2.252,yes
223_rem,0.2245,mth,65,vihtavuori_n540,117,24.7,2956,25,12,2.252,yes
223_rem,0.2245,ntx,35,vihtavuori_n130,84,25.9,3911,25,12,2.205,yes
223_rem,0.2245,ntx,35,vihtavuori_n133,89,25.9,3809,25,12,2.205,yes
223_rem,0.2245,ntx,35,vihtavuori_n135,102,26.2,3727,25,12,2.205,yes
223_rem,0.2245,ecx,50,vihtavuori_n135,102,24.2,3294,25,12,2.205,yes
