cartridge,bullet_weight,charge_weight,barrel_length,velocity_fps,twist_rate
300_blk,200.0,7.0,9.0,710.0,7.0
300_blk,200.0,7.5,9.0,877.0,7.0
300_blk,200.0,8.5,9.0,1015.0,7.0
300_blk,200.0,9.0,9.0,1080.0,7.0
300_blk,200.0,11.0,9.0,904.0,7.0
300_blk,200.0,11.5,9.0,945.0,7.0
300_blk,200.0,11.5,9.0,925.0,7.0
300_blk,200.0,12.0,9.0,905.0,7.0
300_blk,200.0,11.0,9.0,823.0,7.0
300_blk,200.0,11.5,9.0,890.0,7.0
300_blk,220.0,9.0,8.3,940.0,
300_blk,220.0,9.5,8.3,1000.0,
300_blk,220.0,10.0,8.3,1060.0,
300_blk,125.0,16.4,,1948.0,
300_blk,125.0,16.6,,1960.0,
300_blk,125.0,16.8,,1978.0,
300_blk,125.0,17.0,,2015.0,
300_blk,125.0,17.2,,2018.0,
300_blk,125.0,17.4,,2032.0,
300_blk,125.0,17.6,,2030.0,
300_blk,125.0,17.8,,2005.0,
300_blk,125.0,18.0,,2000.0,
300_blk,125.0,18.2,,2005.0,
300_blk,125.0,18.4,,2025.0,
300_blk,110.0,4.9,,1023.0,
300_blk,110.0,6.2,,1040.0,
300_blk,115.0,4.5,,965.0,
300_blk,115.0,5.5,,1062.0,
300_blk,125.0,6.1,,1060.0,
300_blk,130.0,6.4,,967.0,
300_blk,135.0,6.4,,869.0,
300_blk,140.0,6.0,,929.0,
300_blk,150.0,6.0,,871.0,
300_blk,190.0,11.4,,1032.0,
300_blk,190.0,12.3,,1062.0,
300_blk,190.0,11.5,,1059.0,
300_blk,190.0,10.4,,1056.0,
300_blk,190.0,9.6,,1067.0,
6_5_creedmoor,130.0,39.5,,2614.0,
6_5_creedmoor,130.0,39.5,,2628.0,
6_5_creedmoor,130.0,39.5,,2662.0,
6_5_creedmoor,130.0,40.0,,2691.0,
6_5_creedmoor,130.0,40.0,,2690.0,
6_5_creedmoor,130.0,40.0,,2684.0,
6_5_creedmoor,130.0,40.5,,2737.0,
6_5_creedmoor,130.0,40.5,,2732.0,
6_5_creedmoor,130.0,40.5,,2718.0,
6_5_creedmoor,130.0,41.0,,2786.0,
6_5_creedmoor,130.0,41.0,,2770.0,
6_5_creedmoor,130.0,41.0,,2768.0,
260_rem,123.0,43.5,,2975.0,
260_rem,130.0,42.5,28.0,2950.0,
260_rem,140.0,43.5,,2810.0,
260_rem,129.0,46.6,,2750.0,
260_rem,129.0,45.2,,2703.0,
260_rem,140.0,43.5,,2582.0,
260_rem,142.0,44.5,,2620.0,
260_rem,130.0,44.0,24.0,2900.0,
260_rem,123.0,48.0,26.0,3000.0,8.0
260_rem,123.0,39.3,26.0,2930.0,8.0
260_rem,123.0,44.0,26.0,3030.0,8.0
260_rem,120.0,41.5,22.0,2675.0,9.0
260_rem,140.0,42.0,,2700.0,
260_rem,130.0,44.5,28.0,3050.0,
260_rem,130.0,43.5,,3072.0,
260_rem,130.0,43.5,,2969.0,
260_rem,130.0,44.5,,2890.0,
260_rem,140.0,41.7,30.0,2835.0,
260_rem,130.0,45.0,30.0,3120.0,
260_rem,140.0,47.0,26.0,2780.0,
260_rem,120.0,46.3,28.0,3040.0,
260_rem,140.0,43.0,28.0,2865.0,8.5
260_rem,139.0,42.0,26.0,2820.0,8.0
260_rem,130.0,43.5,26.0,2950.0,8.0
260_rem,140.0,41.5,24.0,2690.0,8.5
