cartridge,bullet_diameter,bullet_brand,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,coal
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n130,84,21.1,3402,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n133,89,22.8,3481,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n135,102,24.7,3514,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n140,112,26.2,3425,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n540,117,25.8,3301,2.181
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n130,84,19.1,2877,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n133,89,20.8,2959,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n135,102,21.9,2976,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n140,112,23.5,2963,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n540,117,23.6,2920,2.201
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n130,84,19.3,2785,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n133,89,18.5,2726,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n135,102,19.3,2746,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n140,112,24.2,2910,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n540,117,25.2,2920,2.165
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n130,84,20.7,2881,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n133,89,19.3,2818,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n135,102,21.3,2877,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n140,112,25.0,2966,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n540,117,25.2,2963,2.205
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n133,89,20.7,2730,2.260
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n530,100,21.6,2694,2.260
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n135,102,21.0,2618,2.260
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n140,112,23.5,2694,2.260
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n540,117,23.9,2756,2.260
223_rem,0.225,barnes,ttsx_bt,62.0,vihtavuori_n133,89,19.9,2694,2.244
223_rem,0.225,barnes,ttsx_bt,62.0,vihtavuori_n530,100,21.5,2746,2.244
223_rem,0.225,barnes,ttsx_bt,62.0,vihtavuori_n135,102,21.1,2736,2.244
223_rem,0.225,barnes,ttsx_bt,62.0,vihtavuori_n140,112,24.2,2779,2.244
223_rem,0.225,barnes,ttsx_bt,62.0,vihtavuori_n540,117,23.9,2805,2.244
223_rem,0.225,barnes,lrx_bt,77.0,vihtavuori_n140,112,21.6,2339,2.260
223_rem,0.225,barnes,lrx_bt,77.0,vihtavuori_n540,117,21.6,2425,2.260
223_rem,0.225,barnes,bt_match,85.0,vihtavuori_n135,102,18.8,2310,2.228
223_rem,0.225,barnes,bt_match,85.0,vihtavuori_n140,112,20.8,2375,2.228
223_rem,0.225,barnes,bt_match,85.0,vihtavuori_n540,117,22.1,2470,2.228
223_rem,0.225,barnes,bt_match,85.0,vihtavuori_n150,124,21.5,2418,2.228
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n130,84,24.1,3786,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n133,89,25.9,3842,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n135,102,26.2,3717,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n140,112,27.0,3514,2.181
223_rem,0.225,barnes,hpfb,36.0,vihtavuori_n540,117,27.8,3576,2.181
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n130,84,21.5,3179,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n133,89,23.1,3255,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n135,102,24.5,3297,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n140,112,26.9,3317,2.201
223_rem,0.225,barnes,varmint_grenade,50.0,vihtavuori_n540,117,26.2,3278,2.201
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n130,84,21.6,3068,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n133,89,20.8,3028,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n135,102,21.9,3048,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n140,112,25.5,3035,2.165
223_rem,0.225,barnes,mpg_fb,55.0,vihtavuori_n540,117,27.8,3196,2.165
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n130,84,23.1,3176,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n133,89,23.5,3196,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n135,102,25.0,3228,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n140,112,27.0,3169,2.205
223_rem,0.225,barnes,ttsx_bt,55.0,vihtavuori_n540,117,27.8,3232,2.205
223_rem,0.225,barnes,tac_x_bt,62.0,vihtavuori_n133,89,23.1,2966,2.260
