cartridge,bullet_diameter,bullet_brand,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,coal
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n140,112,37.2,2201,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n150,124,37.2,2221,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n540,117,38.3,2254,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n550,129,40.4,2267,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n140,112,40.4,2372,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n150,124,40.3,2388,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n540,117,41.5,2454,2.795
308_win,0.308,berger,200_20x_hybrid_target,200.2,vihtavuori_n550,129,44.8,2497,2.795
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n160,143,53.2,2717,3.268
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n560,147,59.3,2795,3.268
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n165,153,59.9,2831,3.268
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n160,143,62.2,3068,3.268
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n165,153,67.4,3133,3.268
7mm_rem_mag,0.284,swift,a_frame,140,vihtavuori_n560,147,67.3,3169,3.268
308_win,0.308,hornady,a_max,208,vihtavuori_n140,112,35.2,2080,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n150,124,37,2123,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n540,117,37.8,2192,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n550,129,40.1,2208,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n140,112,38.4,2267,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n150,124,40.1,2293,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n133,89,34.7,2297,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n135,102,37,2343,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n140,112,39.4,2372,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n150,124,39.4,2372,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n540,117,41.2,2395,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n540,117,40.3,2415,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n550,129,42.4,2418,2.795
308_win,0.308,hornady,a_max,208,vihtavuori_n550,129,43.8,2418,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n133,89,38.3,2503,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n135,102,39.8,2533,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n140,112,42.1,2569,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n150,124,42.7,2579,2.795
260_rem,0.264,hornady,a_max,140,vihtavuori_n165,153,43.5,2582,
308_win,0.308,hornady,a_max,168,vihtavuori_n540,117,43.5,2651,2.795
308_win,0.308,hornady,a_max,168,vihtavuori_n550,129,45.5,2651,2.795
260_rem,0.264,hornady,a_max,140,imr_7828sc,154,47,2780,
260_rem,0.264,hornady,a_max,140,hodgdon_h4350,133,43.5,2810,
260_rem,0.264,hornady,a_max,123,hodgdon_varget,113,39.3,2930,2.85
260_rem,0.264,hornady,a_max,123,hodgdon_h4831,146,48,3000,2.85
260_rem,0.264,hornady,a_max,123,alliant_reloder_17,134,44,3030,2.85
308_win,0.308,hornady,a_tip_match,176,vihtavuori_n135,102,36.6,2310,2.795
